cid1,cid2,tabsAgreement,rmsd,tfd
22,1,0,1.9188129660672488,0.3083532640916838
22,2,0,2.7411369326669917,0.18872909100427024
22,3,0,2.7046090744501248,0.1996202381060379
22,4,0,1.6534447777780104,0.25504595860233437
22,5,0,0.45575041094638086,0.1895110248622769
22,6,0,1.3010453517299831,0.3216710211831007
22,7,0,1.723568525387244,0.33827465400588713
22,8,0,2.7554634763145742,0.15092653919776358
22,9,0,2.413482590607827,0.08344410584314894
22,10,0,2.265755359817793,0.15039452550747381
22,11,0,2.590078882860371,0.080175432167236
22,12,0,2.4757075862358424,0.15706742553243125
22,13,0,0.3905539997694798,0.18964737564786918
22,14,0,1.2001881597232498,0.16920513776421153
22,15,0,1.870325382789535,0.20189505864077886
22,16,0,1.1926131709195864,0.1223071868767162
22,17,0,2.2146758529738313,0.2899531702668263
22,18,0,2.2778332306250486,0.05154268406352315
22,19,0,2.3519632868205274,0.1863667101661048
22,20,0,2.319848135453679,0.04448752600681189
22,21,0,2.148354446231964,0.017028982379479814
23,0,0,3.2428611951262893,0.1598528394476399
23,1,0,1.817269029902929,0.16447372210534597
23,2,0,2.0991016728403773,0.18966253301624764
23,3,0,2.514669393635077,0.15045909164720594
23,4,0,2.2945560105152927,0.33826797717019796
23,5,0,1.8086043313608884,0.03309036306940895
23,6,0,1.961368622564187,0.039645596637465634
23,7,0,2.2471450418307937,0.3216054587673606
23,8,0,3.231062488989469,0.050265543020701485
23,9,0,2.2139245455007734,0.039341890448067615
23,10,0,1.20859301858701,0.13664127985996646
23,11,0,1.3382796703582351,0.17491230147269884
23,12,0,2.2763462069544684,0.04164691756223932
23,13,0,1.799618694005049,0.3087112727776847
23,14,0,2.0065098055390487,0.1863007389408649
23,15,0,1.8189625873997994,0.2559663642355674
23,16,0,1.9839868329210306,0.17367329616925534
23,17,0,1.219810515690234,0.037610208752366946
23,18,0,1.8383744927547123,0.023178266733821874
23,19,0,2.7895745541113373,0.18384167762559236
23,20,0,1.8186824564302186,0.3038512166470163
23,21,0,2.110666399204317,0.016051940198355142
23,22,0,1.8569594128822027,0.016065088555912998
